x,y,value
0,0,1
0,1,0
0,2,1
0,3,1
0,4,0
0,5,1
0,6,1
0,7,1
0,8,0
0,9,0
0,10,0
0,11,1
0,12,1
0,13,0
0,14,1
0,15,0
0,16,0
0,17,0
0,18,1
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,1
0,26,1
0,27,0
0,28,0
0,29,1
0,30,0
0,31,1
0,32,1
0,33,1
0,34,1
0,35,0
0,36,1
0,37,0
0,38,1
0,39,1
0,40,1
0,41,0
0,42,1
0,43,1
0,44,1
0,45,0
0,46,1
0,47,1
0,48,0
0,49,1
1,0,1
1,1,1
1,2,1
1,3,1
1,4,0
1,5,0
1,6,0
1,7,0
1,8,1
1,9,1
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,1
1,16,1
1,17,0
1,18,1
1,19,0
1,20,1
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,1
1,27,1
1,28,1
1,29,0
1,30,0
1,31,0
1,32,0
1,33,1
1,34,0
1,35,1
1,36,1
1,37,0
1,38,1
1,39,1
1,40,0
1,41,1
1,42,0
1,43,1
1,44,1
1,45,0
1,46,0
1,47,1
1,48,1
1,49,0
2,0,1
2,1,0
2,2,0
2,3,0
2,4,1
2,5,1
2,6,0
2,7,0
2,8,1
2,9,1
2,10,1
2,11,0
2,12,0
2,13,0
2,14,1
2,15,1
2,16,1
2,17,0
2,18,0
2,19,1
2,20,0
2,21,1
2,22,0
2,23,1
2,24,1
2,25,1
2,26,0
2,27,1
2,28,0
2,29,0
2,30,1
2,31,0
2,32,1
2,33,0
2,34,1
2,35,0
2,36,0
2,37,1
2,38,1
2,39,1
2,40,1
2,41,0
2,42,1
2,43,1
2,44,0
2,45,1
2,46,0
2,47,0
2,48,0
2,49,0
3,0,1
3,1,0
3,2,0
3,3,1
3,4,0
3,5,0
3,6,0
3,7,1
3,8,1
3,9,0
3,10,1
3,11,1
3,12,1
3,13,0
3,14,0
3,15,0
3,16,0
3,17,1
3,18,0
3,19,1
3,20,1
3,21,0
3,22,1
3,23,0
3,24,1
3,25,0
3,26,1
3,27,0
3,28,1
3,29,0
3,30,1
3,31,1
3,32,0
3,33,1
3,34,0
3,35,1
3,36,1
3,37,1
3,38,0
3,39,0
3,40,1
3,41,0
3,42,0
3,43,0
3,44,1
3,45,1
3,46,1
3,47,1
3,48,0
3,49,0
4,0,0
4,1,0
4,2,1
4,3,0
4,4,1
4,5,0
4,6,1
4,7,1
4,8,0
4,9,1
4,10,0
4,11,1
4,12,0
4,13,1
4,14,1
4,15,1
4,16,1
4,17,1
4,18,0
4,19,1
4,20,1
4,21,0
4,22,0
4,23,1
4,24,0
4,25,1
4,26,0
4,27,1
4,28,0
4,29,0
4,30,0
4,31,0
4,32,1
4,33,0
4,34,1
4,35,0
4,36,0
4,37,1
4,38,1
4,39,1
4,40,1
4,41,0
4,42,1
4,43,0
4,44,0
4,45,1
4,46,1
4,47,1
4,48,0
4,49,1
5,0,1
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,1
5,8,0
5,9,1
5,10,0
5,11,1
5,12,0
5,13,1
5,14,0
5,15,0
5,16,1
5,17,0
5,18,1
5,19,1
5,20,1
5,21,0
5,22,0
5,23,1
5,24,1
5,25,0
5,26,0
5,27,0
5,28,0
5,29,0
5,30,0
5,31,0
5,32,0
5,33,1
5,34,0
5,35,0
5,36,0
5,37,0
5,38,0
5,39,0
5,40,1
5,41,0
5,42,1
5,43,0
5,44,0
5,45,1
5,46,1
5,47,0
5,48,1
5,49,1
6,0,1
6,1,0
6,2,1
6,3,0
6,4,0
6,5,1
6,6,0
6,7,0
6,8,1
6,9,1
6,10,0
6,11,1
6,12,1
6,13,1
6,14,0
6,15,1
6,16,1
6,17,0
6,18,1
6,19,1
6,20,1
6,21,1
6,22,1
6,23,0
6,24,1
6,25,0
6,26,1
6,27,0
6,28,1
6,29,1
6,30,0
6,31,0
6,32,1
6,33,0
6,34,0
6,35,0
6,36,0
6,37,1
6,38,1
6,39,0
6,40,0
6,41,1
6,42,0
6,43,1
6,44,1
6,45,1
6,46,0
6,47,1
6,48,1
6,49,1
7,0,1
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,1
7,7,0
7,8,0
7,9,0
7,10,1
7,11,0
7,12,1
7,13,1
7,14,1
7,15,0
7,16,1
7,17,1
7,18,1
7,19,0
7,20,0
7,21,0
7,22,0
7,23,1
7,24,0
7,25,0
7,26,1
7,27,1
7,28,0
7,29,0
7,30,1
7,31,1
7,32,0
7,33,0
7,34,0
7,35,1
7,36,0
7,37,0
7,38,1
7,39,1
7,40,1
7,41,1
7,42,0
7,43,1
7,44,0
7,45,1
7,46,0
7,47,0
7,48,0
7,49,1
8,0,0
8,1,1
8,2,1
8,3,1
8,4,0
8,5,0
8,6,1
8,7,1
8,8,0
8,9,1
8,10,0
8,11,1
8,12,0
8,13,1
8,14,0
8,15,1
8,16,0
8,17,0
8,18,0
8,19,0
8,20,1
8,21,0
8,22,0
8,23,0
8,24,0
8,25,1
8,26,0
8,27,0
8,28,1
8,29,0
8,30,0
8,31,1
8,32,1
8,33,1
8,34,0
8,35,0
8,36,0
8,37,0
8,38,1
8,39,0
8,40,0
8,41,0
8,42,0
8,43,0
8,44,1
8,45,0
8,46,1
8,47,1
8,48,0
8,49,1
9,0,0
9,1,0
9,2,1
9,3,1
9,4,0
9,5,0
9,6,0
9,7,0
9,8,1
9,9,0
9,10,1
9,11,0
9,12,1
9,13,1
9,14,0
9,15,0
9,16,1
9,17,1
9,18,0
9,19,0
9,20,1
9,21,0
9,22,0
9,23,0
9,24,1
9,25,0
9,26,1
9,27,1
9,28,0
9,29,1
9,30,1
9,31,1
9,32,1
9,33,1
9,34,1
9,35,1
9,36,0
9,37,0
9,38,1
9,39,0
9,40,0
9,41,1
9,42,0
9,43,0
9,44,0
9,45,1
9,46,1
9,47,1
9,48,0
9,49,1
10,0,1
10,1,1
10,2,0
10,3,1
10,4,1
10,5,0
10,6,0
10,7,1
10,8,1
10,9,0
10,10,0
10,11,1
10,12,1
10,13,1
10,14,0
10,15,1
10,16,0
10,17,0
10,18,1
10,19,0
10,20,0
10,21,0
10,22,0
10,23,0
10,24,1
10,25,0
10,26,1
10,27,1
10,28,1
10,29,1
10,30,1
10,31,1
10,32,0
10,33,0
10,34,1
10,35,1
10,36,1
10,37,1
10,38,1
10,39,1
10,40,1
10,41,0
10,42,0
10,43,0
10,44,1
10,45,0
10,46,1
10,47,0
10,48,1
10,49,1
11,0,0
11,1,1
11,2,0
11,3,1
11,4,1
11,5,0
11,6,1
11,7,1
11,8,0
11,9,0
11,10,0
11,11,0
11,12,0
11,13,1
11,14,0
11,15,1
11,16,0
11,17,1
11,18,1
11,19,0
11,20,0
11,21,0
11,22,1
11,23,0
11,24,0
11,25,1
11,26,0
11,27,1
11,28,1
11,29,1
11,30,1
11,31,0
11,32,0
11,33,0
11,34,0
11,35,1
11,36,1
11,37,0
11,38,1
11,39,1
11,40,0
11,41,1
11,42,0
11,43,1
11,44,0
11,45,1
11,46,0
11,47,0
11,48,1
11,49,0
12,0,0
12,1,1
12,2,0
12,3,1
12,4,0
12,5,0
12,6,0
12,7,1
12,8,0
12,9,0
12,10,1
12,11,1
12,12,0
12,13,0
12,14,1
12,15,1
12,16,1
12,17,0
12,18,1
12,19,1
12,20,0
12,21,1
12,22,0
12,23,0
12,24,0
12,25,1
12,26,1
12,27,1
12,28,0
12,29,0
12,30,0
12,31,1
12,32,0
12,33,0
12,34,1
12,35,0
12,36,1
12,37,0
12,38,1
12,39,0
12,40,1
12,41,1
12,42,1
12,43,1
12,44,1
12,45,0
12,46,0
12,47,0
12,48,0
12,49,0
13,0,1
13,1,1
13,2,1
13,3,1
13,4,1
13,5,0
13,6,1
13,7,0
13,8,1
13,9,1
13,10,0
13,11,1
13,12,0
13,13,0
13,14,0
13,15,1
13,16,1
13,17,0
13,18,1
13,19,1
13,20,1
13,21,0
13,22,1
13,23,0
13,24,1
13,25,1
13,26,1
13,27,0
13,28,0
13,29,0
13,30,1
13,31,0
13,32,0
13,33,1
13,34,0
13,35,0
13,36,0
13,37,0
13,38,0
13,39,0
13,40,1
13,41,1
13,42,0
13,43,1
13,44,0
13,45,1
13,46,1
13,47,1
13,48,0
13,49,1
14,0,0
14,1,0
14,2,0
14,3,1
14,4,0
14,5,0
14,6,0
14,7,1
14,8,1
14,9,0
14,10,1
14,11,1
14,12,1
14,13,0
14,14,0
14,15,0
14,16,0
14,17,0
14,18,0
14,19,1
14,20,1
14,21,1
14,22,1
14,23,0
14,24,0
14,25,1
14,26,0
14,27,1
14,28,0
14,29,0
14,30,0
14,31,0
14,32,0
14,33,0
14,34,1
14,35,0
14,36,1
14,37,1
14,38,0
14,39,1
14,40,1
14,41,0
14,42,1
14,43,0
14,44,1
14,45,1
14,46,0
14,47,0
14,48,1
14,49,0
15,0,0
15,1,0
15,2,1
15,3,0
15,4,0
15,5,1
15,6,1
15,7,0
15,8,0
15,9,0
15,10,0
15,11,1
15,12,1
15,13,1
15,14,1
15,15,1
15,16,1
15,17,1
15,18,1
15,19,0
15,20,0
15,21,0
15,22,1
15,23,0
15,24,0
15,25,1
15,26,0
15,27,1
15,28,0
15,29,0
15,30,1
15,31,0
15,32,1
15,33,0
15,34,1
15,35,1
15,36,1
15,37,1
15,38,1
15,39,0
15,40,1
15,41,0
15,42,0
15,43,1
15,44,1
15,45,0
15,46,1
15,47,0
15,48,0
15,49,1
16,0,0
16,1,1
16,2,1
16,3,1
16,4,0
16,5,0
16,6,0
16,7,1
16,8,1
16,9,1
16,10,1
16,11,0
16,12,0
16,13,0
16,14,0
16,15,0
16,16,1
16,17,0
16,18,1
16,19,1
16,20,1
16,21,1
16,22,0
16,23,1
16,24,0
16,25,1
16,26,1
16,27,0
16,28,1
16,29,1
16,30,0
16,31,1
16,32,0
16,33,0
16,34,1
16,35,1
16,36,0
16,37,1
16,38,0
16,39,1
16,40,0
16,41,0
16,42,1
16,43,0
16,44,0
16,45,1
16,46,0
16,47,1
16,48,0
16,49,1
17,0,0
17,1,0
17,2,1
17,3,0
17,4,0
17,5,0
17,6,1
17,7,1
17,8,1
17,9,0
17,10,0
17,11,0
17,12,0
17,13,0
17,14,1
17,15,1
17,16,0
17,17,1
17,18,0
17,19,0
17,20,0
17,21,1
17,22,0
17,23,0
17,24,1
17,25,0
17,26,1
17,27,1
17,28,1
17,29,1
17,30,0
17,31,0
17,32,1
17,33,0
17,34,0
17,35,0
17,36,1
17,37,0
17,38,0
17,39,1
17,40,0
17,41,1
17,42,1
17,43,0
17,44,0
17,45,0
17,46,1
17,47,1
17,48,1
17,49,1
18,0,0
18,1,1
18,2,1
18,3,1
18,4,1
18,5,0
18,6,1
18,7,1
18,8,0
18,9,1
18,10,0
18,11,1
18,12,1
18,13,1
18,14,1
18,15,0
18,16,1
18,17,0
18,18,0
18,19,0
18,20,1
18,21,0
18,22,0
18,23,1
18,24,0
18,25,0
18,26,0
18,27,1
18,28,0
18,29,1
18,30,0
18,31,0
18,32,0
18,33,1
18,34,0
18,35,0
18,36,0
18,37,1
18,38,0
18,39,1
18,40,0
18,41,1
18,42,0
18,43,1
18,44,0
18,45,1
18,46,0
18,47,1
18,48,0
18,49,0
19,0,0
19,1,0
19,2,0
19,3,0
19,4,1
19,5,0
19,6,1
19,7,1
19,8,0
19,9,1
19,10,0
19,11,0
19,12,0
19,13,0
19,14,1
19,15,1
19,16,0
19,17,1
19,18,0
19,19,0
19,20,1
19,21,1
19,22,0
19,23,0
19,24,0
19,25,1
19,26,1
19,27,0
19,28,1
19,29,1
19,30,1
19,31,0
19,32,0
19,33,1
19,34,0
19,35,0
19,36,1
19,37,1
19,38,1
19,39,0
19,40,0
19,41,0
19,42,0
19,43,1
19,44,0
19,45,0
19,46,1
19,47,0
19,48,1
19,49,0
20,0,0
20,1,0
20,2,1
20,3,1
20,4,1
20,5,1
20,6,0
20,7,0
20,8,1
20,9,1
20,10,1
20,11,0
20,12,0
20,13,1
20,14,0
20,15,1
20,16,0
20,17,1
20,18,1
20,19,1
20,20,1
20,21,1
20,22,1
20,23,0
20,24,1
20,25,0
20,26,1
20,27,0
20,28,0
20,29,0
20,30,1
20,31,0
20,32,1
20,33,1
20,34,1
20,35,1
20,36,0
20,37,0
20,38,0
20,39,1
20,40,0
20,41,0
20,42,1
20,43,1
20,44,1
20,45,1
20,46,0
20,47,0
20,48,0
20,49,0
21,0,0
21,1,0
21,2,1
21,3,0
21,4,0
21,5,0
21,6,0
21,7,1
21,8,0
21,9,1
21,10,1
21,11,0
21,12,1
21,13,1
21,14,0
21,15,0
21,16,0
21,17,0
21,18,0
21,19,1
21,20,1
21,21,0
21,22,1
21,23,0
21,24,1
21,25,0
21,26,0
21,27,1
21,28,1
21,29,1
21,30,1
21,31,0
21,32,1
21,33,0
21,34,1
21,35,0
21,36,0
21,37,1
21,38,0
21,39,1
21,40,1
21,41,0
21,42,1
21,43,0
21,44,1
21,45,0
21,46,0
21,47,1
21,48,0
21,49,0
22,0,0
22,1,1
22,2,1
22,3,0
22,4,1
22,5,1
22,6,1
22,7,0
22,8,0
22,9,0
22,10,0
22,11,0
22,12,0
22,13,1
22,14,1
22,15,1
22,16,1
22,17,1
22,18,0
22,19,1
22,20,1
22,21,0
22,22,0
22,23,0
22,24,1
22,25,0
22,26,0
22,27,1
22,28,0
22,29,1
22,30,1
22,31,0
22,32,0
22,33,1
22,34,0
22,35,1
22,36,0
22,37,1
22,38,0
22,39,1
22,40,1
22,41,1
22,42,1
22,43,0
22,44,1
22,45,1
22,46,0
22,47,1
22,48,0
22,49,1
23,0,0
23,1,0
23,2,0
23,3,0
23,4,1
23,5,0
23,6,0
23,7,1
23,8,0
23,9,1
23,10,1
23,11,1
23,12,0
23,13,1
23,14,1
23,15,0
23,16,1
23,17,1
23,18,0
23,19,1
23,20,1
23,21,0
23,22,1
23,23,1
23,24,0
23,25,1
23,26,1
23,27,1
23,28,0
23,29,0
23,30,1
23,31,1
23,32,0
23,33,1
23,34,1
23,35,1
23,36,1
23,37,0
23,38,1
23,39,0
23,40,0
23,41,1
23,42,1
23,43,0
23,44,0
23,45,0
23,46,0
23,47,1
23,48,0
23,49,1
24,0,1
24,1,0
24,2,0
24,3,1
24,4,1
24,5,1
24,6,0
24,7,1
24,8,1
24,9,1
24,10,1
24,11,0
24,12,1
24,13,1
24,14,1
24,15,0
24,16,1
24,17,1
24,18,1
24,19,0
24,20,1
24,21,1
24,22,1
24,23,0
24,24,1
24,25,1
24,26,0
24,27,0
24,28,0
24,29,0
